rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,876,泉塘,31
2,230449265,ECHO-回声-,提督,1059,泉塘,31
3,32826022,柒玖さん,提督,314,泉塘,29
4,27660357,酸柚流星Ali,舰长,1068,泉塘,29
5,39863332,请激推吃块饼干饼,舰长,450,泉塘,28
6,30571987,穆宝321321,舰长,441,泉塘,28
7,1844901,INH桑,舰长,392,泉塘,27
8,13281308,Andersener,舰长,309,泉塘,27
9,85879758,倾珏子泠雫,舰长,109,泉塘,27
10,4470537,反正什么都没有_语,舰长,968,泉塘,26
11,187213,我的现任同居小男友,舰长,830,泉塘,26
12,39276653,sphingo,舰长,812,泉塘,26
13,26117826,F常胜,舰长,590,泉塘,26
14,21930032,Mochizki,舰长,1011,泉塘,26
15,85396059,河豚黑听中___,舰长,360,泉塘,26
16,241407928,葉月-Hatsuki,舰长,760,泉塘,26
17,1590686072,o0O彼岸O0o,舰长,858,泉塘,26
18,5379791,袖白雪qwq,舰长,138,泉塘,26
19,493738704,给傻子上提督,舰长,313,泉塘,26
20,38002734,我是个憨憨呢,舰长,455,泉塘,25
21,3546645272725664,伊娜1na,舰长,465,泉塘,25
22,252697075,修罗店主,舰长,283,泉塘,25
23,23053482,祖皇临古今,舰长,353,泉塘,25
24,295541604,樱井小汐,舰长,353,泉塘,25
25,182322636,紫色的夏,舰长,323,泉塘,25
26,1033953289,鸿儒之赋,舰长,318,泉塘,25
27,262232974,铍栋波炼坡,舰长,192,泉塘,25
28,1496522837,泉塘的丛雨,舰长,134,泉塘,24
29,1552867361,HtElysia,舰长,147,泉塘,24
30,577715370,1topNIKO,舰长,188,泉塘,24
31,527242512,捧瓜猛吃,舰长,144,泉塘,24
32,15315886,白尘-咒凋,舰长,145,泉塘,24
33,15195322,剑人君,舰长,173,泉塘,24
34,399319144,zyiixx,舰长,169,泉塘,24
35,1315517967,YoM0Y,舰长,192,泉塘,24
36,3993827,托兰格海德_Official,舰长,138,泉塘,24
37,441991888,St_range,舰长,178,泉塘,24
38,71555219,我心水东流,舰长,168,泉塘,24
39,37111016,龙之啸风,舰长,170,泉塘,24
40,478153,demkro,舰长,124,泉塘,23
41,2189079,呼呼被子,舰长,95,泉塘,23
42,262877,美汐瑛莉,舰长,109,泉塘,23
43,4701207,筷子呼呼大睡,舰长,110,泉塘,23
44,672572632,惜颜墨舞,舰长,113,泉塘,23
45,411814804,听雪のヒフミ,舰长,35,泉塘,22
46,476067392,祈小蓝,舰长,41,泉塘,22
47,35638826,当个咸鱼多快乐,舰长,66,泉塘,22
48,3422997,奈咪NightMi,舰长,74,泉塘,22
49,3546711928604807,请您吃拼好饭,舰长,47,泉塘,22
50,8236427,苏苏苏777,舰长,5,泉塘,22
51,297176794,壹柒拾七,舰长,32,泉塘,22
52,290303127,゜nameless,舰长,23,泉塘,21
53,191170511,王玉王玉zizi,舰长,3,泉塘,21
54,12033719,零哈伯,舰长,7,泉塘,21
55,286451418,Yalioon,舰长,22,泉塘,21
56,3546915369126753,芙蓉电子兔,舰长,8,泉塘,21
57,470716162,一只时小鱼,舰长,16,泉塘,21
58,457257267,河边的闪光,舰长,28,泉塘,21
59,434709556,没香菇的鸡丁面,舰长,4,泉塘,21
