rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,890,泉塘,31
2,230449265,ECHO-回声-,提督,1073,泉塘,31
3,32826022,柒玖さん,提督,328,泉塘,29
4,27660357,酸柚流星Ali,舰长,1082,泉塘,29
5,39863332,一块破碎的饼干饼,舰长,464,泉塘,28
6,30571987,穆宝321321,舰长,455,泉塘,28
7,1844901,INH桑,舰长,406,泉塘,27
8,13281308,Andersener,舰长,323,泉塘,27
9,85879758,倾珏子泠雫,舰长,123,泉塘,27
10,4470537,反正什么都没有_语,舰长,982,泉塘,26
11,187213,我的现任同居小男友,舰长,844,泉塘,26
12,39276653,sphingo,舰长,826,泉塘,26
13,85396059,河豚黑听中___,舰长,373,泉塘,26
14,26117826,F常胜,舰长,604,泉塘,26
15,21930032,Mochizki,舰长,1025,泉塘,26
16,1590686072,o0O彼岸O0o,舰长,872,泉塘,26
17,241407928,葉月-Hatsuki,舰长,774,泉塘,26
18,493738704,给儍子上舰,舰长,327,泉塘,26
19,38002734,我是个憨憨呢,舰长,469,泉塘,25
20,3546645272725664,伊娜1na,舰长,479,泉塘,25
21,252697075,修罗店主,舰长,297,泉塘,25
22,23053482,祖皇临古今,舰长,367,泉塘,25
23,295541604,樱井小汐,舰长,367,泉塘,25
24,1033953289,鸿儒之赋,舰长,332,泉塘,25
25,262232974,铍栋波炼坡,舰长,206,泉塘,25
26,1496522837,泉塘的丛雨,舰长,148,泉塘,24
27,527242512,捧瓜猛吃,舰长,158,泉塘,24
28,15315886,白尘-咒凋,舰长,159,泉塘,24
29,577715370,1topNIKO,舰长,202,泉塘,24
30,3993827,托兰格海德_Official,舰长,152,泉塘,24
31,71555219,我心水东流,舰长,182,泉塘,24
32,441991888,St_range,舰长,192,泉塘,24
33,37111016,龙之啸风,舰长,184,泉塘,24
34,1315517967,YoM0Y,舰长,206,泉塘,24
35,8236427,苏苏苏777,舰长,19,泉塘,24
36,399258692,_緒山-まひろ-みはり_,舰长,154,泉塘,24
37,478153,demkro,舰长,138,泉塘,23
38,2189079,呼呼被子,舰长,109,泉塘,23
39,672572632,惜颜墨舞,舰长,127,泉塘,23
40,3546711928604807,请您吃拼好饭,舰长,61,泉塘,23
41,411814804,听雪のヒフミ,舰长,49,泉塘,23
42,476067392,祈小蓝,舰长,55,泉塘,22
43,35638826,当个咸鱼多快乐,舰长,80,泉塘,22
44,3422997,奈咪NightMi,舰长,88,泉塘,22
45,643753269,牢二信仰玩家,舰长,44,泉塘,22
46,6895883,千里王,舰长,45,泉塘,22
47,290303127,゜nameless,舰长,37,泉塘,22
48,297176794,壹柒拾七,舰长,46,泉塘,22
49,652495130,老喵裂开了,舰长,15,泉塘,22
50,12033719,零哈伯,舰长,21,泉塘,21
51,191170511,王玉王玉zizi,舰长,17,泉塘,21
52,34481755,球长_,舰长,4,泉塘,21
53,3546915369126753,芙蓉电子兔,舰长,22,泉塘,21
54,470716162,一只时小鱼,舰长,30,泉塘,21
55,434709556,没香菇的鸡丁面,舰长,18,泉塘,21
56,109909180,圆环之理推销员,舰长,11,泉塘,21
