rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,895,泉塘,31
2,230449265,ECHO-回声-,提督,1078,泉塘,31
3,32826022,柒玖さん,提督,333,泉塘,29
4,27660357,酸柚流星Ali,舰长,1087,泉塘,29
5,39863332,一块破碎的饼干饼,舰长,469,泉塘,28
6,30571987,穆宝321321,舰长,460,泉塘,28
7,1844901,INH桑,舰长,411,泉塘,27
8,13281308,Andersener,舰长,328,泉塘,27
9,85879758,倾珏子泠雫,舰长,128,泉塘,27
10,4470537,反正什么都没有_语,舰长,987,泉塘,26
11,187213,我的现任同居小男友,舰长,849,泉塘,26
12,39276653,sphingo,舰长,831,泉塘,26
13,85396059,河豚黑听中___,舰长,378,泉塘,26
14,26117826,F常胜,舰长,609,泉塘,26
15,21930032,Mochizki,舰长,1030,泉塘,26
16,5379791,袖白雪qwq,舰长,152,泉塘,26
17,1590686072,o0O彼岸O0o,舰长,877,泉塘,26
18,241407928,葉月-Hatsuki,舰长,779,泉塘,26
19,493738704,给傻子上提督,舰长,332,泉塘,26
20,38002734,我是个憨憨呢,舰长,474,泉塘,25
21,3546645272725664,伊娜1na,舰长,484,泉塘,25
22,23053482,祖皇临古今,舰长,372,泉塘,25
23,295541604,樱井小汐,舰长,372,泉塘,25
24,262232974,铍栋波炼坡,舰长,211,泉塘,25
25,1033953289,鸿儒之赋,舰长,337,泉塘,25
26,527242512,捧瓜猛吃,舰长,163,泉塘,24
27,15315886,白尘-咒凋,舰长,164,泉塘,24
28,577715370,1topNIKO,舰长,207,泉塘,24
29,8236427,苏苏苏777,舰长,24,泉塘,24
30,1315517967,YoM0Y,舰长,211,泉塘,24
31,3993827,托兰格海德_Official,舰长,157,泉塘,24
32,71555219,我心水东流,舰长,187,泉塘,24
33,441991888,St_range,舰长,197,泉塘,24
34,37111016,龙之啸风,舰长,189,泉塘,24
35,399258692,_緒山-まひろ-みはり_,舰长,159,泉塘,24
36,3546711928604807,请您吃拼好饭,舰长,66,泉塘,24
37,478153,demkro,舰长,143,泉塘,23
38,2189079,呼呼被子,舰长,114,泉塘,23
39,672572632,惜颜墨舞,舰长,132,泉塘,23
40,411814804,听雪のヒフミ,舰长,54,泉塘,23
41,476067392,祈小蓝,舰长,60,泉塘,23
42,35638826,当个咸鱼多快乐,舰长,85,泉塘,22
43,643753269,牢二信仰玩家,舰长,49,泉塘,22
44,6895883,千里王,舰长,50,泉塘,22
45,290303127,゜nameless,舰长,42,泉塘,22
46,297176794,壹柒拾七,舰长,51,泉塘,22
47,652495130,老喵裂开了,舰长,20,泉塘,22
48,389324886,苦尽甘来的方糖,舰长,1,泉塘,22
49,12033719,零哈伯,舰长,26,泉塘,21
50,34481755,球长_,舰长,9,泉塘,21
51,296301043,穹尽亿世,舰长,2,泉塘,21
52,191170511,王玉王玉zizi,舰长,22,泉塘,21
53,3546915369126753,芙蓉电子兔,舰长,27,泉塘,21
54,15115048,原罪学者GC,舰长,2,泉塘,21
55,434709556,没香菇的鸡丁面,舰长,23,泉塘,21
56,109909180,圆环之理推销员,舰长,16,泉塘,21
