rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,645,泉塘,31
2,230449265,ECHO-回声-,提督,828,泉塘,30
3,27660357,流星Ali_本家泉泉,提督,837,泉塘,29
4,39863332,请激推吃块饼干饼,提督,219,泉塘,28
5,30571987,穆宝321321,提督,213,泉塘,27
6,32826022,柒玖さん,提督,83,泉塘,25
7,1865633553,俺果冻大亨,舰长,174,泉塘,31
8,1844901,INH桑,舰长,243,泉塘,27
9,9103707,-柒佑KeyU-,舰长,685,泉塘,26
10,100990414,沐竹-星间泉神教,舰长,837,泉塘,26
11,187213,我的现任同居小男友,舰长,599,泉塘,26
12,4470537,反正什么都没有_语,舰长,737,泉塘,26
13,3920056,雪野夜时音,舰长,385,泉塘,26
14,3546643745999458,是小号-,舰长,99,泉塘,26
15,33504517,虾籽阳春面,舰长,211,泉塘,26
16,39276653,sphingo,舰长,581,泉塘,26
17,21930032,Mochizki,舰长,780,泉塘,26
18,569464277,技术力低下并且待机,舰长,495,泉塘,26
19,513458866,Echo回声___,舰长,369,泉塘,26
20,26117826,F常胜,舰长,359,泉塘,26
21,241407928,葉月-Hatsuki,舰长,529,泉塘,26
22,1590686072,o0O彼岸O0o,舰长,627,泉塘,25
23,2003512509,恆星製夢观测站,舰长,460,泉塘,25
24,8432843,大交叉-official,舰长,212,泉塘,25
25,2042392251,鹭玖鸢_stargaze,舰长,257,泉塘,25
26,85396059,河豚黑听中___,舰长,129,泉塘,25
27,32327404,彩虹米饭,舰长,297,泉塘,25
28,1688280199,星间泉channel,舰长,322,泉塘,25
29,9565962,猫娘才不萌呢,舰长,117,泉塘,24
30,13281308,Andersener,舰长,81,泉塘,24
31,2918786,异世界的舅舅舅舅,舰长,80,泉塘,24
32,38002734,我是个憨憨呢,舰长,227,泉塘,24
33,385860703,泉泉の五更雪落,舰长,163,泉塘,24
34,3546645272725664,伊娜1na,舰长,234,泉塘,24
35,22941517,子夜寄君書-,舰长,135,泉塘,24
36,3546658994391044,一般路过神秘dd,舰长,158,泉塘,24
37,305245439,逐影笔落,舰长,71,泉塘,24
38,44097,Lycerisious_夕,舰长,79,泉塘,24
39,224607521,粥店王老板,舰长,177,泉塘,24
40,44987344,初见Yui,舰长,135,泉塘,24
41,23053482,祖皇临古今,舰长,122,泉塘,24
42,295541604,樱井小汐,舰长,123,泉塘,24
43,1762132,奇Kiseki,舰长,101,泉塘,24
44,395869643,Oooverlord,舰长,136,泉塘,23
45,160803875,三箱辣条压压惊,舰长,136,泉塘,23
46,8167154,炉石酒馆丶米乐,舰长,79,泉塘,23
47,182322636,紫色的夏,舰长,109,泉塘,23
48,1033953289,鸿儒之赋,舰长,87,泉塘,23
49,396694871,翻不过来的咸鱼干,舰长,61,泉塘,23
50,47137568,樱华森优丶,舰长,62,泉塘,22
51,328086627,莳祺鸢,舰长,71,泉塘,22
52,493738704,时贰live,舰长,82,泉塘,22
53,1727168,皮皮的皮球,舰长,43,泉塘,22
54,7220745,Juicefff,舰长,35,泉塘,22
55,587084,朝月小仙女,舰长,33,泉塘,22
56,34105925,いっぺんしんでみる,舰长,60,泉塘,22
57,115789,四绪风,舰长,48,泉塘,22
58,14443753,冷烟QvQ,舰长,27,泉塘,22
59,7987592,星陨殇,舰长,45,泉塘,22
60,23613722,Matarah_Okina,舰长,38,泉塘,22
61,1429151083,加班是不能停的,舰长,33,泉塘,22
62,525513320,冬添,舰长,50,泉塘,22
63,283795572,此间的彼方_,舰长,60,泉塘,22
64,1880194603,情绪总是温暖,舰长,20,泉塘,22
65,338182515,月见雪兔子,舰长,20,泉塘,22
66,3537121686063609,_风风子,舰长,31,泉塘,21
67,11636892,暮乙乘舟,舰长,31,泉塘,21
68,15004780,北-墨羽,舰长,19,泉塘,21
69,315169216,桃酱软糖,舰长,20,泉塘,21
70,390318569,Foxofwine,舰长,17,泉塘,21
71,97219644,哈达尔,舰长,29,泉塘,21
72,541391425,花椒锅巴土豆,舰长,16,泉塘,21
73,5338866,秦のこころ,舰长,17,泉塘,21
74,49530176,_鳕鱼罐头_,舰长,4,泉塘,21
75,399258692,_緒山-まひろ-みはり_,舰长,14,泉塘,21
76,398960971,Zar-1231,舰长,16,泉塘,21
77,396259135,爱吃瓜的瓜猫,舰长,21,泉塘,21
78,3878756,桜幸,舰长,8,泉塘,21
79,3546659577400096,吾宴煮,舰长,26,泉塘,21
80,3493089817660245,天上白玉京-_-,舰长,3,泉塘,21
81,348744748,墅崎,舰长,20,泉塘,21
82,33538092,喜欢戴头套的阿抽,舰长,3,泉塘,21
83,22949985,良心奸商,舰长,13,泉塘,21
84,1825665368,n-buna不投术不改名,舰长,27,泉塘,21
85,1793474342,晴天林雨,舰长,20,泉塘,21
86,1697648387,日常被祭旗啊,舰长,22,泉塘,21
87,16882590,木偶人r,舰长,16,泉塘,21
88,154289065,xwdx,舰长,22,泉塘,21
