rank,uid,username,type,accompany,medal_name,medal_level
1,1298744,めいじゃ_,提督,652,泉塘,31
2,230449265,泉教のPreacher-回声,提督,835,泉塘,30
3,27660357,流星Ali_本家泉泉,提督,844,泉塘,29
4,39863332,请激推吃块饼干饼,提督,226,泉塘,28
5,30571987,穆宝321321,提督,220,泉塘,27
6,61048436,鑢七叶,提督,37,泉塘,26
7,32826022,柒玖さん,提督,90,泉塘,25
8,1865633553,俺果冻大亨,舰长,181,泉塘,31
9,1844901,INH桑,舰长,250,泉塘,27
10,9103707,-柒佑KeyU-,舰长,692,泉塘,26
11,100990414,沐竹-星间泉神教,舰长,844,泉塘,26
12,187213,我的现任同居小男友,舰长,606,泉塘,26
13,4470537,反正什么都没有_语,舰长,744,泉塘,26
14,33504517,虾籽阳春面_泉宝信徒,舰长,218,泉塘,26
15,3920056,雪野夜时音,舰长,392,泉塘,26
16,3546643745999458,是小号-,舰长,106,泉塘,26
17,39276653,sphingo,舰长,588,泉塘,26
18,21930032,Mochizki,舰长,787,泉塘,26
19,569464277,技术力低下并且待机,舰长,502,泉塘,26
20,513458866,Echo回声___,舰长,376,泉塘,26
21,1590686072,o0O彼岸O0o,舰长,634,泉塘,26
22,26117826,F常胜,舰长,366,泉塘,26
23,241407928,葉月-Hatsuki,舰长,536,泉塘,26
24,2003512509,恆星製夢观测站,舰长,467,泉塘,25
25,8432843,大交叉-official,舰长,219,泉塘,25
26,2042392251,鹭玖鸢_stargaze,舰长,264,泉塘,25
27,32327404,彩虹米饭,舰长,304,泉塘,25
28,9565962,猫娘才不萌呢,舰长,123,泉塘,25
29,85396059,河豚黑听中___,舰长,136,泉塘,25
30,1688280199,星间泉channel,舰长,329,泉塘,25
31,13281308,Andersener,舰长,88,泉塘,25
32,3546645272725664,伊娜1na,舰长,241,泉塘,24
33,2918786,异世界的雪原之紫,舰长,87,泉塘,24
34,38002734,我是个憨憨呢,舰长,234,泉塘,24
35,385860703,泉泉の五更雪落,舰长,170,泉塘,24
36,224607521,粥店王老板,舰长,184,泉塘,24
37,337891,love小唧love,舰长,152,泉塘,24
38,22941517,子夜寄君書-,舰长,142,泉塘,24
39,3546658994391044,一般路过神秘dd,舰长,165,泉塘,24
40,305245439,逐影笔落,舰长,78,泉塘,24
41,44097,Lycerisious_夕,舰长,86,泉塘,24
42,44987344,初见Yui,舰长,142,泉塘,24
43,23053482,祖皇临古今,舰长,129,泉塘,24
44,1762132,奇Kiseki,舰长,108,泉塘,24
45,295541604,樱井小汐,舰长,130,泉塘,24
46,395869643,Oooverlord,舰长,143,泉塘,23
47,160803875,三箱辣条压压惊,舰长,143,泉塘,23
48,1033953289,鸿儒之赋,舰长,94,泉塘,23
49,8167154,炉石酒馆丶米乐,舰长,86,泉塘,23
50,182322636,紫色的夏,舰长,116,泉塘,23
51,451171905,像风失速,舰长,62,泉塘,23
52,47137568,樱华森优丶,舰长,69,泉塘,22
53,472938909,纯白却非无色,舰长,35,泉塘,22
54,328086627,莳祺鸢,舰长,78,泉塘,22
55,493738704,时贰live,舰长,89,泉塘,22
56,1727168,皮皮的皮球,舰长,50,泉塘,22
57,7220745,Juicefff,舰长,42,泉塘,22
58,587084,朝月小仙女,舰长,40,泉塘,22
59,14443753,冷烟QvQ,舰长,34,泉塘,22
60,7987592,星陨殇,舰长,52,泉塘,22
61,23613722,Matarah_Okina,舰长,45,泉塘,22
62,115789,四绪风,舰长,55,泉塘,22
63,1429151083,加班是不能停的,舰长,40,泉塘,22
64,525513320,冬添,舰长,57,泉塘,22
65,1880194603,情绪总是温暖,舰长,27,泉塘,22
66,338182515,月见雪兔子,舰长,27,泉塘,22
67,404387707,露帕Ruppa,舰长,2,泉塘,21
68,15004780,北-墨羽,舰长,26,泉塘,21
69,315169216,桃酱软糖,舰长,27,泉塘,21
70,399258692,_緒山-まひろ-みはり_,舰长,21,泉塘,21
71,390318569,Foxofwine,舰长,24,泉塘,21
72,541391425,花椒锅巴土豆,舰长,23,泉塘,21
73,5338866,秦のこころ,舰长,24,泉塘,21
74,49530176,_鳕鱼罐头_,舰长,11,泉塘,21
75,398960971,Zar-1231,舰长,23,泉塘,21
76,396259135,爱吃瓜的瓜猫,舰长,28,泉塘,21
77,3878756,桜幸,舰长,15,泉塘,21
78,384807825,乱维空弦,舰长,5,泉塘,21
79,3493089817660245,天上白玉京-_-,舰长,10,泉塘,21
80,348744748,墅崎,舰长,27,泉塘,21
81,3461562585058246,Simplexlatex,舰长,2,泉塘,21
82,33538092,喜欢戴头套的阿抽,舰长,10,泉塘,21
83,22949985,良心奸商,舰长,20,泉塘,21
84,1793474342,晴天林雨,舰长,27,泉塘,21
85,1697648387,日常被祭旗啊,舰长,29,泉塘,21
86,16882590,木偶人r,舰长,23,泉塘,21
87,154289065,xwdx,舰长,29,泉塘,21
