rank,uid,username,type,accompany,medal_name,medal_level
1,230449265,ECHO-回声_,提督,1213,泉塘,47
2,1298744,めいじゃ_,提督,1030,泉塘,47
3,30571987,穆宝321321,提督,595,泉塘,40
4,32826022,柒玖さん,舰长,460,泉塘,42
5,27660357,酸柚流星Ali,舰长,1222,泉塘,42
6,39863332,枫糖奶油饼,舰长,604,泉塘,39
7,85879758,新条泠,舰长,263,泉塘,36
8,85396059,河豚黑听中___,舰长,513,泉塘,35
9,187213,我的现任同居小男友,舰长,984,泉塘,34
10,8432843,大交叉-official,舰长,456,泉塘,33
11,26117826,F常胜,舰长,744,泉塘,33
12,21930032,Mochizki,舰长,1165,泉塘,33
13,241407928,葉月-Hatsuki,舰长,914,泉塘,33
14,1590686072,o0O彼岸O0o,舰长,1012,泉塘,33
15,569464277,技术力低下并且待机,舰长,759,泉塘,33
16,493738704,时贰live,舰长,467,泉塘,32
17,513458866,Echo回声___,舰长,515,泉塘,32
18,38002734,我是个憨憨呢,舰长,609,泉塘,32
19,15315886,白尘-咒凋,舰长,299,泉塘,31
20,295541604,樱井小汐,舰长,493,泉塘,31
21,23053482,祖皇临古今,舰长,507,泉塘,31
22,20755725,夏卓风,舰长,248,泉塘,31
23,262232974,铍栋波炼坡,舰长,340,泉塘,31
24,32139540,吟诗小白,舰长,236,泉塘,31
25,3546645272725664,伊娜1na,舰长,619,泉塘,31
26,1033953289,鸿儒之赋,舰长,472,泉塘,30
27,3993827,托兰格海德_Official,舰长,276,泉塘,30
28,1552867361,HtElysia,舰长,224,泉塘,30
29,476067392,祈小蓝,舰长,195,泉塘,29
30,1315517967,YoM0Y,舰长,346,泉塘,29
31,441991888,St_range,舰长,324,泉塘,29
32,3546711928604807,请您吃拼好饭,舰长,201,泉塘,29
33,672572632,惜颜墨舞,舰长,267,泉塘,29
34,109147473,odorikoz,舰长,395,泉塘,29
35,1480678340,游荡梦呓,舰长,35,泉塘,28
36,389324886,苦尽甘来的方糖,舰长,136,泉塘,28
37,1420010897,我永远喜欢博伊西,舰长,109,泉塘,28
38,166697233,天使念经,舰长,59,泉塘,28
39,649976501,温温爱哭鬼,舰长,125,泉塘,27
40,524960801,sil_沐长,舰长,122,泉塘,27
41,50110410,熊桑阿,舰长,116,泉塘,27
42,3493112743725883,lbag,舰长,105,泉塘,27
43,630776989,迷人小妖艳,舰长,114,泉塘,26
44,80313739,泉间星ing,舰长,64,泉塘,26
45,36823906,Cloud_跟风云玩家,舰长,124,泉塘,26
46,290141205,大凤suki,舰长,102,泉塘,26
47,499174623,人机mirror,舰长,101,泉塘,26
48,3493110204074132,_费阳阳_,舰长,78,泉塘,26
49,660286260,欣曦SinCe,舰长,122,泉塘,26
50,40258316,Badelyn,舰长,101,泉塘,26
51,398725864,乘风归去的猪,舰长,114,泉塘,25
52,22952897,老咸苟,舰长,71,泉塘,25
53,291015763,喜哭emm,舰长,62,泉塘,25
54,23863877,极夜冰火,舰长,42,泉塘,25
55,3546839395601231,FAMSNAKE,舰长,101,泉塘,25
56,340229442,栩栩如枫,舰长,39,泉塘,25
57,6413726,千年巫妖狐,舰长,42,泉塘,25
58,3277550,切老师的猫,舰长,90,泉塘,25
59,89305238,天渊墨痕,舰长,57,泉塘,24
60,498697916,--_---_---_--嘻嘻,舰长,9,泉塘,23
61,224518493,揽月映星河,舰长,45,泉塘,23
62,2008772135,神野崎川,舰长,11,泉塘,22
63,399443001,kuosidney,舰长,5,泉塘,22
64,647171389,你是world_,舰长,14,泉塘,22
65,179398679,依泽铃兰,舰长,22,泉塘,22
66,544486316,此间不过浮生一梦,舰长,29,泉塘,21
67,471394115,_Interesting_,舰长,14,泉塘,21
68,19212361,情伤灬少帅,舰长,6,泉塘,21
69,1109324295,爱吃芭菲の乐奈,舰长,10,泉塘,21
70,28968186,挂机如风,舰长,10,泉塘,21
71,264013471,冷冷吃不饱,舰长,10,泉塘,21
72,3546918768609642,星夜朔Saku,舰长,11,泉塘,21
73,290696925,火力大喵出门就倒,舰长,3,泉塘,21
74,544593726,煮了袋速食面,舰长,3,泉塘,21
75,268360591,槐花味の诗白,舰长,11,泉塘,21
76,100594987,鹤曜耀,舰长,4,泉塘,21
77,80094109,开摆本摆-,舰长,13,泉塘,21
78,354860466,MOSLTY,舰长,3,泉塘,21
79,11451824,东躲西藏的暮暮,舰长,2,泉塘,21
80,3537113895144414,溪索の奈芽,舰长,19,泉塘,21
81,3493297951606945,露姆ルム,舰长,5,泉塘,21
82,25642077,大尾巴の狐璃,舰长,14,泉塘,21
