rank,uid,username,type,accompany,medal_name,medal_level
1,230449265,ECHO-回声_,提督,1348,泉皇,48
2,1298744,めいじゃ_,提督,1165,泉皇,47
3,26537263,闭眼望蓝天,舰长,75,泉皇,47
4,32826022,柒玖さん,舰长,595,泉皇,43
5,27660357,酸柚流星Ali,舰长,1357,泉皇,42
6,30571987,穆宝321321,舰长,730,泉皇,40
7,13281308,Andersener,舰长,457,泉皇,37
8,15315886,白尘-咒凋,舰长,434,泉皇,35
9,187213,我的现任同居小男友,舰长,1119,泉皇,34
10,26117826,F常胜,舰长,879,泉皇,34
11,50297468,jklasd12,舰长,107,泉皇,34
12,21930032,Mochizki,舰长,1300,泉皇,34
13,8432843,大交叉-official,舰长,591,泉皇,34
14,1590686072,o0O彼岸O0o,舰长,1147,泉皇,34
15,513458866,Echo回声___,舰长,644,泉皇,34
16,493738704,只给傻子钢板上提督,舰长,602,泉皇,33
17,241407928,葉月-Hatsuki,舰长,1049,泉皇,33
18,20755725,夏卓风,舰长,383,泉皇,33
19,32139540,吟诗小白,舰长,357,泉皇,33
20,3546643745999458,朽川_木,舰长,297,泉皇,33
21,6895883,千里王,舰长,216,泉皇,33
22,524308871,泉门单推KING,舰长,105,泉皇,33
23,38002734,我是个憨憨呢,舰长,744,泉皇,33
24,3546711928604807,请您吃拼好饭,舰长,336,泉皇,33
25,23053482,祖皇临古今,舰长,642,泉皇,33
26,37292690,龙狐狐风夨,舰长,140,泉皇,32
27,295541604,樱井小汐,舰长,597,泉皇,32
28,2035428444,泉宝家の子,舰长,128,泉皇,32
29,3546645272725664,伊娜1na,舰长,754,泉皇,32
30,3993827,托兰格海德_Official,舰长,356,泉皇,31
31,296301043,穹尽亿世,舰长,244,泉皇,31
32,441991888,St_range,舰长,459,泉皇,31
33,672572632,惜颜墨舞,舰长,402,泉皇,31
34,1315517967,YoM0Y,舰长,481,泉皇,31
35,3493116004796675,寒木木喵,舰长,30,泉皇,31
36,337891,love小唧love,舰长,395,泉皇,31
37,649976501,温温爱哭鬼,舰长,260,泉皇,30
38,413457324,雨宮Hotaru,舰长,284,泉皇,30
39,499174623,人机mirror,舰长,236,泉皇,30
40,3546579432639267,究极抱兮瑶兽,舰长,185,泉皇,30
41,40258316,Badelyn,舰长,236,泉皇,30
42,660286260,欣曦SinCe,舰长,257,泉皇,30
43,16120966,洛伊德LloydTT,舰长,243,泉皇,29
44,4701207,昏睡若叶筷,舰长,234,泉皇,29
45,290141205,大凤suki,舰长,237,泉皇,29
46,4728193,阿部高和え,舰长,121,泉皇,29
47,1480678340,游荡梦呓,舰长,170,泉皇,29
48,434557502,咫尺天涯涧,舰长,127,泉皇,29
49,595489,polikc,舰长,129,泉皇,28
50,202181646,三夜三秋,舰长,145,泉皇,28
51,2122126847,均伊,舰长,48,泉皇,28
52,215347278,发椿同好会会长,舰长,110,泉皇,28
53,3546753582238535,暮色Knight,舰长,213,泉皇,28
54,224518493,揽月映星河,舰长,180,泉皇,28
55,409617432,S---117,舰长,92,泉皇,28
56,10094351,愿慈父祝福你,舰长,104,泉皇,28
57,499046659,睡得头都掉了,舰长,95,泉皇,28
58,159399741,ベクサン茶,舰长,15,泉皇,28
59,43657743,好想再睡多一会,舰长,66,泉皇,28
60,399264060,我来组成分母___,舰长,104,泉皇,27
61,3632305186801893,奇妙怪异,舰长,93,泉皇,27
62,290696925,火力大喵出门就倒,舰长,138,泉皇,27
63,39481625,wk哇咔咔wkk,舰长,98,泉皇,27
64,182614014,雪落椛间,舰长,99,泉皇,27
65,12124589,雷伊LT,舰长,105,泉皇,27
66,1322628,火花-喵,舰长,73,泉皇,26
67,11451824,东躲西藏的暮暮,舰长,137,泉皇,26
68,1929106525,是星珩捏QWQ,舰长,89,泉皇,26
69,43211028,千千千千心,舰长,113,泉皇,26
70,31473700,扛-_-住,舰长,89,泉皇,26
71,3014542,脸黑到死,舰长,58,泉皇,26
72,302649087,非洲友好人民,舰长,55,泉皇,26
73,160210717,之萌风语是勇者,舰长,106,泉皇,26
74,3493092418128570,红宝天下第一10086,舰长,55,泉皇,26
75,593580552,robin-魏,舰长,82,泉皇,26
76,28001241,强尼不来子,舰长,67,泉皇,25
77,425302769,觉醒者222244,舰长,56,泉皇,25
78,153352046,-Flanst-,舰长,55,泉皇,25
79,3546628818471872,贪食魔虫,舰长,55,泉皇,25
80,15787975,昆西昆OvI,舰长,55,泉皇,25
81,47262514,青灯沽玖,舰长,55,泉皇,25
82,444027147,Shiroust,舰长,64,泉皇,25
83,97544769,凇海Songhai,舰长,25,泉皇,25
84,97274582,二十四精神院院长陨石,舰长,30,泉皇,25
85,3493128126335919,弱弱M,舰长,60,泉皇,25
86,312618852,NI_KA_NA,舰长,27,泉皇,25
87,21212037,暮碎丷,舰长,15,泉皇,24
88,3546977044269345,_好喜欢你,舰长,30,泉皇,24
89,17424553,WoodenBarrel,舰长,30,泉皇,24
90,1971812868,白日做梦涅涅,舰长,30,泉皇,24
91,391637078,六月翌,舰长,33,泉皇,24
92,3786370,星宫拾宵,舰长,3,泉皇,22
93,358095602,阿轩a123,舰长,5,泉皇,21
94,424241873,我是咋昂,舰长,3,泉皇,21
95,8920203,千夜つ,舰长,7,泉皇,21
96,291140286,泡茶阿南,舰长,3,泉皇,21
97,3706934425291115,星_キラキラ,舰长,8,泉皇,21
